iter	RMSE
0	1.258306371
1	1.215274786
2	1.170729945
3	1.134505177
4	1.101099916
5	1.068764317
6	1.037121399
7	1.014281117
8	0.9922565564
9	0.9689813312
10	0.9467901443
11	0.9251082137
12	0.9070601465
13	0.8921338167
14	0.8778659297
15	0.8635580737
16	0.8501000703
17	0.8366988048
18	0.8248747273
19	0.812966708
20	0.8013668925
21	0.7916585009
22	0.7829019825
23	0.7725403992
24	0.7621554022
25	0.7528682175
26	0.7443752058
27	0.7342226033
28	0.7261699093
29	0.7184563257
30	0.7116380283
31	0.7043409594
32	0.6964119154
33	0.6897896892
34	0.6827222408
35	0.6763487075
36	0.6708610128
37	0.6653292735
38	0.6591654426
39	0.6533278188
40	0.6469110665
41	0.6429236924
42	0.6386251431
43	0.6336826239
44	0.6275472353
45	0.6239390128
46	0.6191739254
47	0.6158537426
48	0.6121783008
49	0.6076970746
50	0.6029619557
51	0.5999135268
52	0.5957014281
53	0.5920966441
54	0.587534355
55	0.5835302586
56	0.5799980136
57	0.5769510641
58	0.5738470253
59	0.5713489699
60	0.5680814249
61	0.5650501385
62	0.5627532472
63	0.5604069741
64	0.5577689758
65	0.5551513363
66	0.5522959089
67	0.5488116608
68	0.5463321012
69	0.5438143529
70	0.5410097621
71	0.5391602824
72	0.5364987254
73	0.5349439066
74	0.5325427004
75	0.5301178077
76	0.5282434174
77	0.5260119978
78	0.5234407111
79	0.5211377806
80	0.5194055448
81	0.5176287892
82	0.5157691081
83	0.5137789896
84	0.5123708295
85	0.5110978965
86	0.5097925729
87	0.5079579097
88	0.506632758
89	0.5050661522
90	0.5039888601
91	0.5021048967
92	0.5005963027
93	0.4995078499
94	0.4983762882
95	0.4968354911
96	0.4953988985
97	0.4940661137
98	0.4926613345
99	0.4913692333
100	0.4896174652
101	0.4883377996
102	0.4872679272
103	0.4863039038
104	0.4850100105
105	0.4839638115
106	0.4831451886
107	0.4819230004
108	0.4807827168
109	0.4798603711
110	0.4782242382
111	0.4768535782
112	0.4760274071
113	0.4749746148
114	0.4740276943
115	0.4729531652
116	0.4718389381
117	0.4711140399
118	0.4700117418
119	0.4692935576
120	0.4681162207
121	0.4670570994
122	0.4658828991
123	0.46476378
124	0.4640080566
125	0.4631807357
126	0.4623411385
127	0.4614744762
128	0.4606636577
129	0.4597649133
130	0.4591213934
131	0.4585295318
132	0.4578201375
133	0.4570653811
134	0.4561616675
135	0.4552433807
136	0.4547538949
137	0.4538997032
138	0.4530674539
139	0.4525695067
140	0.4516849581
141	0.4511270664
142	0.4505478204
143	0.450054864
144	0.4495319533
145	0.4489723914
146	0.4483910891
147	0.4475395449
148	0.4470444696
149	0.4464858844
150	0.4459938802
151	0.4456046759
152	0.4449390148
153	0.444361145
154	0.4438259559
155	0.4430347064
156	0.4422238704
157	0.4418487439
158	0.4413179737
159	0.4408541064
160	0.4402276805
161	0.4399102549
162	0.439258503
163	0.4385519838
164	0.4381873829
165	0.4375358419
166	0.436437542
167	0.4358440449
168	0.4351269191
169	0.4346277466
170	0.4340666451
171	0.4334761937
172	0.4328462623
173	0.432442248
174	0.4320091477
175	0.4316167945
176	0.4311371179
177	0.4306625526
178	0.4302161048
179	0.4299107077
180	0.4293596932
181	0.4290578788
182	0.4286067473
183	0.4280597878
184	0.4277058062
