iter	Passed	Remaining
0	0	144
1	1	122
2	1	113
3	2	107
4	2	104
5	3	101
6	3	98
7	4	96
8	4	95
9	5	95
10	5	93
11	6	92
12	6	92
13	7	91
14	7	90
15	8	89
16	8	88
17	9	88
18	9	87
19	10	87
20	11	87
21	11	86
22	12	85
23	12	84
24	13	84
25	13	83
26	14	82
27	14	82
28	15	81
29	15	80
30	16	80
31	16	80
32	17	79
33	17	79
34	18	78
35	18	78
36	19	77
37	19	77
38	20	76
39	21	76
40	21	76
41	22	76
42	23	76
43	23	75
44	24	74
45	24	74
46	25	74
47	25	73
48	26	72
49	26	72
50	27	72
51	28	71
52	28	71
53	29	70
54	29	70
55	30	69
56	30	68
57	31	68
58	31	67
59	32	67
60	32	66
61	33	66
62	33	65
63	34	65
64	35	64
65	35	64
66	36	63
67	36	63
68	37	62
69	37	62
70	38	61
71	38	61
72	39	60
73	40	60
74	40	59
75	41	59
76	41	58
77	42	58
78	42	57
79	43	57
80	44	56
81	44	56
82	45	55
83	45	55
84	46	54
85	46	54
86	47	53
87	47	52
88	48	52
89	48	51
90	49	51
91	50	50
92	50	50
93	51	49
94	51	48
95	52	48
96	52	47
97	53	47
98	53	46
99	54	46
100	54	45
101	55	44
102	55	44
103	56	43
104	56	43
105	57	42
106	57	42
107	58	41
108	58	41
109	59	40
110	59	39
111	60	39
112	60	38
113	61	38
114	61	37
115	62	37
116	62	36
117	63	35
118	63	35
119	64	34
120	64	34
121	65	33
122	65	33
123	66	32
124	67	32
125	67	31
126	68	31
127	68	30
128	69	30
129	69	29
130	70	28
131	70	28
132	71	27
133	71	27
134	72	26
135	72	26
136	73	25
137	73	25
138	74	24
139	74	24
140	75	23
141	75	22
142	76	22
143	76	21
144	77	21
145	77	20
146	78	20
147	79	19
148	79	19
149	80	18
150	80	18
151	81	17
152	81	17
153	82	16
154	82	15
155	83	15
156	83	14
157	84	14
158	84	13
159	85	13
160	85	12
161	86	12
162	86	11
163	87	11
164	87	10
165	88	10
166	88	9
167	89	9
168	89	8
169	90	7
170	90	7
171	91	6
172	91	6
173	92	5
174	92	5
175	93	4
176	94	4
177	94	3
178	95	3
179	95	2
180	96	2
181	96	1
182	97	1
183	97	0
184	98	0
